Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage
7854,192.168.3.29-8.8.8.8-58724-53-17,192.168.3.29,34060,8.8.8.8,0,17,16/07/2019 12:13:15 pm,172771,0,16,0.0,966.0,46.0,51.0,52.60647350739884,0.0,473.0,49.0,279.8224193566771,89.43567881856258,18123.179690712317,1.693022230089099,4.0,11561.158580348567,4.0,-10654.0,20468.0,11231.235287314443,0.0,0.0,-15460.0,0.0,18340.580292940416,12444.114268523595,64013.0,5435.0,0,0,0,0,0,645,3.590283021313244,109.47399166976275,52.0,14.0,102.02386634720793,194.3429379095502,34143.526146000724,0,0,0,0,0,0,0,0,3.0,250.81361771150782,39.74924996225349,342.30686239643035,0,0,0,0,0,0,0,0,3,1361,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24622.0,0.0,normal,benign
2625,192.168.3.29-72.21.206.140-57068-443-6,8.6.0.1,421,192.168.3.29,54798,6,16/07/2019 08:30:14 pm,176269,77,22,5484.0,605.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,11571.305946879751,4.0,5116.221053631991,4.0,-13723.0,139966.0,0.0,3663.8359073368365,0.0,-4665.0,0.0,8168.866670869362,1019.7520137197125,14893.0,2995.0,0,0,0,0,0,259,0.0,109.9375636721839,0.0,0.0,1.573986988182025,2.493393910510557,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,11.906748967891414,0,0,0,0,0,0,78,0,4,1241,-1,17,0,0,0.0,0.0,7828.0,3055.0,0.0,0.0,22666.0,4518.0,normal,benign
3416,192.168.3.29-13.33.67.78-42748-443-6,206.207.50.50,57004,192.168.3.29,9023,6,16/07/2019 07:27:14 pm,458546,158,140,14750.0,32839.0,48.0,0.0,109.74745591826832,57.98677753816565,742.0,0.0,443.74673471117455,66.88619888425077,151618.7907437141,1003.0396065041261,4.0,0.0,40144.0,-23504.0,546418.0,0.0,0.0,25963.0,-15115.0,254775.0,17919.791442516806,3211.958025713219,39661.0,1463.0,0,0,0,0,3417,4795,228.8697835576911,651.5821377912241,0.0,259.0,313.41319038027683,234.73312499345667,96864.67626389155,0,1,0,0,0,0,0,0,1.0,308.9899525991801,107.17535226732382,392.33218752038533,0,0,0,0,0,0,71,10915,116,61088,-1,197,140,0,0.0,0.0,0.0,0.0,0.0,0.0,7124.0,0.0,directory bruteforce,establish foothold
1182,192.168.3.29-209.147.138.38-9000-52976-6,192.168.3.1,54489,35.222.85.5,8913,6,15/07/2019 09:02:43 pm,192837,0,1,1272.0,118.0,24.0,0.0,1.8631502431225377,0.950446993232092,1.0,0.0,23.874181042699853,0.0,0.0,128055.67616918116,4321.8877104420335,2045.0570899652657,40385.0,36.0,2886.0,11717.579850637183,1562.3084511795905,13513.0,606.0,0.0,12716.609160493263,2558.0389732438844,20727.0,4280.0,0,0,0,0,0,594,0.0,131687.87911851337,0.0,0.0,3.626601718942508,7.640402864606909,6356.182853281758,0,0,0,0,1,0,0,0,0.0,17.424552823570792,0.26071121936154484,2.350256693219581,0,0,0,0,0,0,0,0,1,784,-1,207,0,0,0.0,392.4032217577026,6461.0,0.0,0.0,0.0,34301.0,28089.0,directory bruteforce,benign
10058,172.217.4.161-192.168.3.29-443-38944-6,206.207.50.50,57601,192.168.3.29,115,6,17/07/2019 03:58:55 pm,270272,83,75,10101.0,44837.0,134.0,0.0,110.10585132432051,83.80882713286948,638.0,0.0,462.4839520859606,100.32033984293182,154045.18275139877,589.3695299584135,4.0,12466.211359392088,31458.0,-9823.0,12786588.0,15020.345946184683,0.0,32289.0,1347.0,98765.0,16331.210982869772,3387.847632554402,47176.0,424.0,0,0,0,0,1322,3685,253.10947818621952,282.6829026789826,0.0,388.0,272.0320518734099,615.0840056103635,756097.4330513297,0,1,0,0,0,0,0,0,1.0,250.6236923956214,100.61888832840198,523.5304749335146,0,0,0,0,0,0,10,9166,57,64369,-1,182,76,0,0.0,3184.358219511587,2992.0,0.0,0.0,0.0,10694.0,0.0,directory bruteforce,establish foothold
2553,192.168.3.29-8.8.8.8-54896-53-17,192.168.3.29,35140,192.168.3.31,9288,6,15/07/2019 08:26:36 pm,119578840,117,64,81859.0,1431.0,4512.0,0.0,1330.0162032211902,1429.137988477349,5034.0,0.0,167.48606179741532,112.63793700305895,8212.828056175975,0.025000000625,1247674.8770476726,2529672.6389737073,35216948.0,-17078.0,117551709.0,2882964.1275324444,11258317.966809418,31358948.0,1202.0,114877991.0,6833911.640214601,2890321.711521623,36543029.0,3013.0,0,1,0,0,2511,1562,0.0,0.00833333354167,0.0,5518.0,661.1250124739267,1494.6407522263519,2601546.6729145003,0,0,0,1,1,0,0,0,0.0,661.478881817894,1247.4995504482965,271.8592041710608,0,0,0,0,0,0,128,73343,38,5673,-1,6701,0,0,525856.1836220683,1084373.5222455214,4093635.0,7269.0,13630050.722868474,11058656.61921372,31437162.0,6454913.0,normal,benign
28516,192.168.3.29-209.147.138.38-9002-62175-6,172.217.11.74,44712,184.98.36.245,47597,6,16/07/2019 03:58:22 pm,46858,0,1,1447.0,0.0,0.0,0.0,1.3577738054092352,0.30598652409328503,23.0,0.0,0.0,0.0,1839.8475146277178,4108.242535750124,4.0,2352.1437602151846,19510.0,-4051.0,0.0,6792.015093290375,0.0,2043.0,-1377.0,0.0,5042.318467401211,0.0,23627.0,1183.0,0,0,0,0,0,3,0.0,13390.672791757801,0.0,0.0,3.0421072198197328,0.98065720710348,19866.782947054413,1,0,0,0,1,0,0,0,0.0,0.0,1.0058295232213978,0.0,0,0,0,0,0,0,0,202,1,251,-1,202,0,0,0.0,0.0,5821.0,635.0,0.0,0.0,16876.0,4255.0,network scan,benign
14297,192.168.3.30-8.8.8.8-56553-53-17,192.168.3.29,462,192.168.101.125,269,6,19/07/2019 05:53:21 pm,13546805,39,15,2058.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,39.90934678834436,0.31779731025039837,0.0,0.025000000625,3276506.850635877,2691005.028203992,7623204.0,489120.0,11576377.0,5049709.626517833,2470525.0427233893,7322871.0,1439761.0,39848790.0,4083906.3628833233,1663114.8522485448,51797.0,335.0,0,1,0,0,629,876,0.0,0.00833333354167,0.0,0.0,2.0461213180852384,19.21156864932398,15041.228148504284,0,1,0,0,0,0,0,0,0.0,36.42801145039987,0.0,31.63994574712626,0,0,0,0,0,0,22,1592,1,1100,-1,28674,0,0,7076584.033839466,0.0,7232257.0,7275821.0,6228731.1558072865,2851.822418003072,7416350.0,6659849.0,normal,benign
17792,192.168.3.29-206.207.50.50-9003-56290-6,206.207.50.50,57161,192.168.3.29,8963,6,17/07/2019 03:58:12 pm,32541,0,1,3013.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3878.7575011694807,37222.63748837291,4.0,6860.649634470945,49949.0,-3969.0,11902.0,0.0,658.3117174554839,32139.0,1604.0,0.0,3982.6050127353947,4677.212665659872,25457.0,0.0,0,0,0,0,0,0,6.535427401901465,31308.505909350428,0.0,0.0,2.206269982638454,0.0,13836.036648408084,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1845,-1,205,0,0,0.0,0.0,2119.0,0.0,0.0,1572.171153274983,4643.0,0.0,directory bruteforce,establish foothold
6797,192.168.3.29-206.207.50.50-9002-36528-6,192.168.3.29,55716,35.163.105.237,301,6,16/07/2019 07:40:38 pm,119999999,6,31,5677.0,2028.0,735.0,0.0,285.5551732584618,1.1669711162927765,2832.0,0.0,252.59104914612874,0.0,5250.100543560957,0.025000000625,399070.03635610454,1889724.737584424,3748295.0,486.0,119522538.0,1015570.1591346184,1807387.8088276112,1131200.0,1378922.0,46602.0,3856731.7801835067,1997588.9620747077,19226.0,901.0,0,0,0,0,0,418,0.0,33.543064538059625,0.0,219.0,286.29498855515925,1027.9735886911433,631281.9823364661,0,1,0,0,0,0,0,0,0.0,261.7738833185688,114.06769834529129,294.3792990279005,0,0,0,0,0,0,46,5340,1,2931,-1,-1,0,0,4035798.9098310443,6948775.687555876,99.0,1047.0,5626366.796786439,0.0,6478288.0,6514843.0,benign,benign
